Reason,Drug_Name,Description
Constipation,Confinex 1mg Tablet 10'SConfinex 2mg Tablet 10'S,treatÂ constipation
Constipation,Claro Syrup 100ml,"constipationÂ (infrequent bowel movements, hard and dry stools)"
Constipation,Clearitol Granules 90gm,treatÂ constipation
Constipation,Agarol Emulsion 120mlAgarol Syrup 120ml,Â maintain normal bowel function in people with haemorrhoids (piles). Reduces constipation
Constipation,Colax 10mg Tablet 10'S,"constipationÂ (infrequent bowel movements, hard and dry stools)"
Constipation,Adlube Ointment 5gm,Â maintain normal bowel function in people with haemorrhoids (piles). Reduces constipation
Constipation,Bestoloos Solution 60ml,treatÂ constipation
Constipation,Constiban Suspension 170ml,"constipationÂ (infrequent bowel movements, hard and dry stools)"
Constipation,Cremaffin Fresh Tablet 10'S,"Hepatic encephalopathy (a liver disease causing confusion, tremor, decreased level of consciousness) which can lead to a hepatic coma"
Constipation,Cipeg Powder 121.1gm,treatÂ constipation
Dandruff,Selsun Suspension 60ml,makes hair silky and removes dandruff
Dandruff,Elketo Shampoo 100ml,removes dandruff
Dandruff,Ketonext Shampoo 60ml,cleans hair and dandruff
Dandruff,Protar K Scalp Solution 100ml,removes dandruff
Dandruff,Noskurf Lotion 100ml,"controls seborrheic dermatitis (common skin condition that mainly affects your scalp which causes scaly patches, red skin and severe dandruff)"
Dandruff,Phytoral SP Scalp Lotion 60mlPhytoral Ointment 30gm,removes dandruff
Dandruff,SELSUN Z Shampoo 60mlSelsun Z Shampoo 120ml,makes hair silky and removes dandruff
Dandruff,KZ Lotion 50mlKZ Soap 75gm,"controls seborrheic dermatitis (common skin condition that mainly affects your scalp which causes scaly patches, red skin and severe dandruff)"
Dandruff,Kevon Zip Lotion 60mlKevon Lotion 60ml,"controls seborrheic dermatitis (common skin condition that mainly affects your scalp which causes scaly patches, red skin and severe dandruff)"
Dandruff,Saliblu New Shampoo 90ml,removes dandruff
Diabetes,Aviglen MF Tablet 10'S,reduces the diabetes
Diabetes,Apidra 100IU Cartridge 1X3mlApidra Solostar 100IU Pen(Dispo) 1X3mlApidra 100IU Injection 1X10ml,reduces the diabetes
Diabetes,Apribose 0.3mg Tablet 10'S,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels"
Diabetes,Adride 2M Forte Tablet 10'S,reduces sugar level diabetes
Diabetes,Advog M 0.2+ Tablet 10'S,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels"
Diabetes,Apriglim 4mg Tablet 10'S,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels"
Diabetes,Amaryl MP 2mg Tablet 10'SAmaryl MP 1/500/15mg Tablet 15'SAmaryl MP 2mg Tablet 15'S,reduces sugar level diabetes
